name,frequency
MARIA CARMEN,668639
MARIA,633600
CARMEN,415535
JOSEFA,298346
ISABEL,279932
ANA MARIA,277090
MARIA PILAR,267272
MARIA DOLORES,265341
MARIA TERESA,256586
ANA,255010
LAURA,253818
MARIA ANGELES,230218
CRISTINA,229683
FRANCISCA,228133
MARTA,221764
ANTONIA,221372
DOLORES,214294
MARIA ISABEL,205596
MARIA JOSE,204536
LUCIA,190438
MARIA LUISA,166577
SARA,160936
ELENA,160894
PILAR,159537
PAULA,158230
CONCEPCION,157115
MANUELA,149434
ROSA MARIA,148432
RAQUEL,148338
MERCEDES,147281
MARIA JESUS,141368
ROSARIO,129491
JUANA,129429
TERESA,128484
BEATRIZ,124265
ENCARNACION,123403
NURIA,120959
SILVIA,119972
JULIA,119475
MONTSERRAT,113296
IRENE,112882
PATRICIA,112223
ROSA,111803
ALBA,106287
ANDREA,105711
ROCIO,104584
MONICA,103306
MARIA MAR,99827
ANGELA,99646
ALICIA,98412
SONIA,98017
SANDRA,97579
SUSANA,96106
MARINA,95389
MARGARITA,94238
YOLANDA,92733
NATALIA,91037
MARIA JOSEFA,90506
MARIA ROSARIO,81312
INMACULADA,80042
EVA,78366
MARIA MERCEDES,77242
ESTHER,76706
ANA ISABEL,76236
CLAUDIA,74117
ANGELES,73615
NOELIA,72794
VERONICA,71493
CARLA,66556
AMPARO,65145
CAROLINA,64778
MARIA ROSA,64419
MARIA VICTORIA,64029
NEREA,63377
SOFIA,62985
EVA MARIA,62931
MARIA CONCEPCION,62111
LORENA,61502
ANA BELEN,60649
MIRIAM,60622
VICTORIA,60176
INES,59967
MARIA ELENA,59809
MARIA ANTONIA,58238
CATALINA,58057
CONSUELO,56873
MARIA NIEVES,53248
LIDIA,53239
EMILIA,52312
LUISA,51443
CELIA,50695
GLORIA,50566
OLGA,49850
DANIELA,49724
AURORA,48748
ESPERANZA,47852
MARIA SOLEDAD,47654
ALEJANDRA,47618
MILAGROS,46939
JOSEFINA,46844
MARIA CRISTINA,46370
FATIMA,45627
AINHOA,45350
VIRGINIA,44996
MARIA LUZ,44309
CLARA,44169
PURIFICACION,43741
VANESA,43214
ANNA,42648
LOURDES,42357
BEGOÑA,39367
ISABEL MARIA,38635
MARIA BELEN,38623
MARTINA,38244
ESTEFANIA,38133
BLANCA,38069
MAGDALENA,37731
ADRIANA,37368
ELISA,37260
MARIA BEGOÑA,36639
MARIA ASUNCION,36557
ASUNCION,36276
VICENTA,36132
MATILDE,36034
ARACELI,35816
GEMA,35679
MARIA PAZ,35510
REMEDIOS,35307
BELEN,34567
MARIA LOURDES,34340
TRINIDAD,34280
MARIA ESTHER,34061
ELVIRA,33959
SOLEDAD,33526
NATIVIDAD,33176
TAMARA,32974
VANESSA,31297
