name,frequency
ANTONIO,715215
JOSE,641525
MANUEL,618891
FRANCISCO,530309
JUAN,367726
DAVID,359930
JOSE ANTONIO,316275
JAVIER,303247
JOSE LUIS,301752
FRANCISCO JAVIER,289325
DANIEL,287431
JESUS,285447
CARLOS,279356
MIGUEL,255008
ALEJANDRO,250968
JOSE MANUEL,246170
RAFAEL,244201
PEDRO,236128
MIGUEL ANGEL,228444
ANGEL,227241
JOSE MARIA,216373
FERNANDO,209826
PABLO,209241
LUIS,202754
SERGIO,202312
JORGE,190500
ALBERTO,179981
JUAN CARLOS,161182
JUAN JOSE,156691
ALVARO,150158
DIEGO,147597
ADRIAN,144663
RAUL,138561
JUAN ANTONIO,137040
ENRIQUE,134465
RAMON,131186
IVAN,130620
VICENTE,128141
RUBEN,125246
OSCAR,121969
ANDRES,119971
JOAQUIN,118155
JUAN MANUEL,114896
SANTIAGO,112725
EDUARDO,108492
VICTOR,104397
ROBERTO,98412
JAIME,97710
FRANCISCO JOSE,95972
MARIO,94940
IGNACIO,91455
ALFONSO,88026
MARCOS,86360
SALVADOR,85293
RICARDO,84282
JORDI,83330
EMILIO,77443
JULIAN,71608
GUILLERMO,71481
JULIO,70909
GABRIEL,69686
TOMAS,68010
AGUSTIN,66454
JOSE MIGUEL,65616
HUGO,64375
MARC,64203
GONZALO,63121
JOSE RAMON,60383
MOHAMED,60078
FELIX,60041
JOAN,56731
NICOLAS,55053
ISMAEL,54684
CRISTIAN,53137
SAMUEL,50810
MARTIN,48883
JOSEP,48737
MARIANO,48675
AITOR,48144
JUAN FRANCISCO,48076
DOMINGO,47972
ALFREDO,45488
JOSE CARLOS,45451
SEBASTIAN,45131
HECTOR,44250
CESAR,42909
FELIPE,42823
IKER,41154
JOSE ANGEL,41073
JOSE IGNACIO,40199
VICTOR MANUEL,39366
ALEX,37572
LUIS MIGUEL,37209
GREGORIO,36680
RODRIGO,35195
JOSE FRANCISCO,35135
LUCAS,34796
JUAN LUIS,34755
ALBERT,34010
XAVIER,34008
LORENZO,33042
ESTEBAN,32014
CRISTOBAL,31927
ANTONIO JOSE,30712
ARTURO,30146
EUGENIO,29909
BORJA,29814
PAU,28277
JOSE JAVIER,27953
JUAN MIGUEL,27295
JESUS MARIA,26945
ANTONIO JESUS,26667
JAUME,26510
FRANCISCO MANUEL,26108
AARON,26017
VALENTIN,25813
ISAAC,25694
GERMAN,25572
JONATHAN,24548
PEDRO JOSE,24467
JOSE VICENTE,24253
MATEO,24096
MOHAMMED,23762
ABEL,23635
ERIC,23504
ASIER,23502
JOEL,23382
MOISES,23005
ADOLFO,22934
JUAN RAMON,22626
MIKEL,22395
SERGI,22233
CHRISTIAN,22074
JUAN PEDRO,21989
BENITO,21623
AHMED,21589
ISIDRO,21483
MANUEL JESUS,21146
IÑIGO,21047
UNAI,20833
ERNESTO,20823
BERNARDO,20638
GERARDO,20231
DARIO,19967
IZAN,19852
GERARD,19784
CARMELO,19753
