surname,frequency_first
GARCIA,1473189
GONZALEZ,927393
RODRIGUEZ,926148
FERNANDEZ,919724
LOPEZ,872744
MARTINEZ,835192
SANCHEZ,818438
PEREZ,780210
GOMEZ,492079
MARTIN,490860
JIMENEZ,392567
RUIZ,368026
HERNANDEZ,359617
DIAZ,338810
MORENO,319874
MUÑOZ,282350
ALVAREZ,281909
ROMERO,220034
ALONSO,198239
GUTIERREZ,194402
NAVARRO,178300
TORRES,168269
DOMINGUEZ,157829
VAZQUEZ,148051
RAMOS,144241
GIL,140579
RAMIREZ,134881
SERRANO,132012
BLANCO,123289
MOLINA,121136
MORALES,119827
SUAREZ,119780
ORTEGA,117563
DELGADO,116560
CASTRO,115343
ORTIZ,106824
RUBIO,104727
MARIN,104127
SANZ,93663
NUÑEZ,90136
IGLESIAS,89478
MEDINA,87157
GARRIDO,85603
CORTES,84113
CASTILLO,83525
SANTOS,83498
LOZANO,79751
GUERRERO,78825
CANO,77289
PRIETO,73836
MENDEZ,72013
CALVO,70302
CRUZ,70055
GALLEGO,69671
VIDAL,69028
LEON,68601
MARQUEZ,68506
HERRERA,68388
PEÑA,68287
FLORES,67616
CABRERA,67526
CAMPOS,65747
VEGA,64442
FUENTES,63910
DIEZ,63388
CARRASCO,63131
CABALLERO,60527
NIETO,60196
REYES,59917
AGUILAR,58934
PASCUAL,58290
HERRERO,58004
SANTANA,57733
LORENZO,56515
MONTERO,56273
HIDALGO,56262
GIMENEZ,55748
IBAÑEZ,55351
FERRER,54674
DURAN,53769
SANTIAGO,53194
VICENTE,52517
BENITEZ,52483
MORA,52445
ARIAS,52016
VARGAS,51961
CARMONA,51644
CRESPO,49836
ROMAN,48427
PASTOR,48168
SOTO,47804
SAEZ,47278
VELASCO,46843
MOYA,46018
SOLER,45814
ESTEBAN,45248
PARRA,45144
BRAVO,44788
GALLARDO,44707
ROJAS,43768
PARDO,43663
MERINO,42997
FRANCO,42147
ESPINOSA,41531
LARA,41528
IZQUIERDO,41182
RIVAS,41161
RIVERA,40828
CASADO,40277
CAMACHO,40100
ARROYO,40075
REDONDO,40059
VERA,39599
REY,39595
SILVA,39591
GALAN,39342
LUQUE,39304
OTERO,39044
MONTES,39018
SIERRA,38872
RIOS,38864
SEGURA,38616
CARRILLO,38161
MARCOS,37605
MARTI,36976
SORIANO,36876
MENDOZA,36685
